Msg ID,New Key,Operation,AD Size,Msg Size,Na,Nm,Nc,Nh,Bla,Blm,Blc,Blh,Ina,Inm,Inc,Inh,Actual Execution Time,Actual Latency
1,1,AE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0
2,0,AE,160,0,5,0,0,0,0,0,0,0,0,0,0,0,270,0
3,0,AE,128,0,4,0,0,0,0,0,0,0,0,0,0,0,243,0
4,0,AE,1536,0,48,0,0,0,0,0,0,0,0,0,0,0,1431,0
5,0,AE,64,0,2,0,0,0,0,0,0,0,0,0,0,0,189,0
6,0,AE,16,0,0,0,0,0,16,0,0,0,1,0,0,0,135,0
7,0,AE,0,160,0,5,0,0,0,0,0,0,0,0,0,0,421,1
8,0,AE,0,128,0,4,0,0,0,0,0,0,0,0,0,0,367,1
9,0,AE,0,1536,0,48,0,0,0,0,0,0,0,0,0,0,2743,1
10,0,AE,0,64,0,2,0,0,0,0,0,0,0,0,0,0,259,1
11,0,AE,0,16,0,0,0,0,0,16,0,0,0,1,0,0,162,1
12,0,AE,160,160,5,5,0,0,0,0,0,0,0,0,0,0,556,1
13,0,AE,128,128,4,4,0,0,0,0,0,0,0,0,0,0,475,1
14,0,AE,1536,1536,48,48,0,0,0,0,0,0,0,0,0,0,4039,1
15,0,AE,64,64,2,2,0,0,0,0,0,0,0,0,0,0,313,1
16,0,AE,16,16,0,0,0,0,16,16,0,0,1,1,0,0,162,1
17,0,AD,160,0,5,0,0,0,0,0,0,0,0,0,0,0,270,1
18,0,AD,128,0,4,0,0,0,0,0,0,0,0,0,0,0,243,1
19,0,AD,1536,0,48,0,0,0,0,0,0,0,0,0,0,0,1431,1
20,0,AD,64,0,2,0,0,0,0,0,0,0,0,0,0,0,189,1
21,0,AD,16,0,0,0,0,0,16,0,0,0,1,0,0,0,135,1
22,0,AD,0,160,0,0,5,0,0,0,0,0,0,0,0,0,421,1
23,0,AD,0,128,0,0,4,0,0,0,0,0,0,0,0,0,367,1
24,0,AD,0,1536,0,0,48,0,0,0,0,0,0,0,0,0,2743,1
25,0,AD,0,64,0,0,2,0,0,0,0,0,0,0,0,0,259,1
26,0,AD,0,16,0,0,0,0,0,0,16,0,0,0,1,0,162,1
27,0,AD,160,160,5,0,5,0,0,0,0,0,0,0,0,0,556,1
28,0,AD,128,128,4,0,4,0,0,0,0,0,0,0,0,0,475,1
29,0,AD,1536,1536,48,0,48,0,0,0,0,0,0,0,0,0,4039,1
30,0,AD,64,64,2,0,2,0,0,0,0,0,0,0,0,0,313,1
31,0,AD,16,16,0,0,0,0,16,0,16,0,1,0,1,0,162,1
